	textid	text	pair	target
84	84	The managers encouraged the secretaries .	The secretaries encouraged the managers .	non-entailment
85	85	The lawyers advised the tourist .	The tourist advised the lawyers .	non-entailment
86	86	The presidents stopped the student .	The student stopped the presidents .	non-entailment
87	87	The judges avoided the secretary .	The secretary avoided the judges .	non-entailment
88	88	The author recognized the artist .	The artist recognized the author .	non-entailment
89	89	The artist mentioned the manager .	The manager mentioned the artist .	non-entailment
90	90	The students thanked the managers .	The managers thanked the students .	non-entailment
91	91	The secretary admired the presidents .	The presidents admired the secretary .	non-entailment
92	92	The artist introduced the judges .	The judges introduced the artist .	non-entailment
93	93	The secretaries recommended the judges .	The judges recommended the secretaries .	non-entailment
94	94	The manager avoided the bankers .	The bankers avoided the manager .	non-entailment
95	95	The secretaries helped the judge .	The judge helped the secretaries .	non-entailment
96	96	The author introduced the secretary .	The secretary introduced the author .	non-entailment
97	97	The judge contacted the doctors .	The doctors contacted the judge .	non-entailment
98	98	The judge believed the actors .	The actors believed the judge .	non-entailment
99	99	The tourists recognized the senators .	The senators recognized the tourists .	non-entailment
100	100	The students supported the manager .	The manager supported the students .	non-entailment
101	101	The lawyers saw the doctor .	The doctor saw the lawyers .	non-entailment
102	102	The secretary thanked the artist .	The artist thanked the secretary .	non-entailment
103	103	The lawyers contacted the secretary .	The secretary contacted the lawyers .	non-entailment
104	104	The author stopped the doctors .	The doctors stopped the author .	non-entailment
105	105	The authors stopped the managers .	The managers stopped the authors .	non-entailment
106	106	The lawyers recognized the scientists .	The scientists recognized the lawyers .	non-entailment
107	107	The presidents recognized the banker .	The banker recognized the presidents .	non-entailment
108	108	The tourists saw the manager .	The manager saw the tourists .	non-entailment
109	109	The student helped the professor .	The professor helped the student .	non-entailment
110	110	The doctors supported the senator .	The senator supported the doctors .	non-entailment
111	111	The doctors mentioned the professors .	The professors mentioned the doctors .	non-entailment
112	112	The scientists recognized the lawyers .	The lawyers recognized the scientists .	non-entailment
113	113	The student saw the tourists .	The tourists saw the student .	non-entailment
114	114	The lawyer called the actor .	The actor called the lawyer .	non-entailment
115	115	The athlete advised the professor .	The professor advised the athlete .	non-entailment
116	116	The doctor encouraged the students .	The students encouraged the doctor .	non-entailment
117	117	The actor recognized the senator .	The senator recognized the actor .	non-entailment
118	118	The judge encouraged the actor .	The actor encouraged the judge .	non-entailment
119	119	The judge contacted the professor .	The professor contacted the judge .	non-entailment
120	120	The lawyers saw the senators .	The senators saw the lawyers .	non-entailment
121	121	The professor avoided the presidents .	The presidents avoided the professor .	non-entailment
122	122	The scientists encouraged the artist .	The artist encouraged the scientists .	non-entailment
123	123	The doctors recommended the artists .	The artists recommended the doctors .	non-entailment
124	124	The artists believed the lawyer .	The lawyer believed the artists .	non-entailment
125	125	The judges stopped the professors .	The professors stopped the judges .	non-entailment
126	126	The senator mentioned the managers .	The managers mentioned the senator .	non-entailment
127	127	The secretaries mentioned the judges .	The judges mentioned the secretaries .	non-entailment
128	128	The tourists introduced the managers .	The managers introduced the tourists .	non-entailment
129	129	The tourists recommended the senator .	The senator recommended the tourists .	non-entailment
130	130	The managers recognized the scientists .	The scientists recognized the managers .	non-entailment
131	131	The artist recommended the lawyer .	The lawyer recommended the artist .	non-entailment
132	132	The managers helped the student .	The student helped the managers .	non-entailment
133	133	The senators admired the authors .	The authors admired the senators .	non-entailment
134	134	The author recommended the doctor .	The doctor recommended the author .	non-entailment
135	135	The managers introduced the senator .	The senator introduced the managers .	non-entailment
136	136	The bankers stopped the scientists .	The scientists stopped the bankers .	non-entailment
137	137	The doctor admired the professor .	The professor admired the doctor .	non-entailment
138	138	The actor believed the senators .	The senators believed the actor .	non-entailment
139	139	The bankers admired the scientist .	The scientist admired the bankers .	non-entailment
140	140	The students advised the judge .	The judge advised the students .	non-entailment
141	141	The actors recognized the professors .	The professors recognized the actors .	non-entailment
142	142	The doctor stopped the judges .	The judges stopped the doctor .	non-entailment
143	143	The senators avoided the scientist .	The scientist avoided the senators .	non-entailment
144	144	The author admired the actors .	The actors admired the author .	non-entailment
145	145	The artist helped the judge .	The judge helped the artist .	non-entailment
146	146	The senator advised the author .	The author advised the senator .	non-entailment
147	147	The lawyers helped the bankers .	The bankers helped the lawyers .	non-entailment
148	148	The senator encouraged the student .	The student encouraged the senator .	non-entailment
149	149	The doctor contacted the banker .	The banker contacted the doctor .	non-entailment
150	150	The actors introduced the doctor .	The doctor introduced the actors .	non-entailment
151	151	The judge stopped the managers .	The managers stopped the judge .	non-entailment
152	152	The tourists saw the presidents .	The presidents saw the tourists .	non-entailment
153	153	The student supported the lawyer .	The lawyer supported the student .	non-entailment
154	154	The secretary saw the student .	The student saw the secretary .	non-entailment
155	155	The actor recommended the artist .	The artist recommended the actor .	non-entailment
156	156	The athletes recognized the managers .	The managers recognized the athletes .	non-entailment
157	157	The athletes mentioned the actors .	The actors mentioned the athletes .	non-entailment
158	158	The judges mentioned the president .	The president mentioned the judges .	non-entailment
159	159	The scientist recommended the authors .	The authors recommended the scientist .	non-entailment
160	160	The students introduced the doctors .	The doctors introduced the students .	non-entailment
161	161	The president recognized the athlete .	The athlete recognized the president .	non-entailment
162	162	The tourist believed the doctor .	The doctor believed the tourist .	non-entailment
163	163	The athletes contacted the lawyers .	The lawyers contacted the athletes .	non-entailment
164	164	The lawyers recognized the secretary .	The secretary recognized the lawyers .	non-entailment
165	165	The doctor contacted the tourists .	The tourists contacted the doctor .	non-entailment
166	166	The author supported the judge .	The judge supported the author .	non-entailment
167	167	The doctor believed the presidents .	The presidents believed the doctor .	non-entailment
168	168	The actor supported the doctors .	The doctors supported the actor .	non-entailment
169	169	The scientists avoided the lawyers .	The lawyers avoided the scientists .	non-entailment
170	170	The tourists believed the authors .	The authors believed the tourists .	non-entailment
171	171	The judges supported the artists .	The artists supported the judges .	non-entailment
172	172	The athlete recognized the scientist .	The scientist recognized the athlete .	non-entailment
173	173	The president recognized the banker .	The banker recognized the president .	non-entailment
174	174	The professor saw the presidents .	The presidents saw the professor .	non-entailment
175	175	The senator helped the doctor .	The doctor helped the senator .	non-entailment
176	176	The president recommended the students .	The students recommended the president .	non-entailment
177	177	The artist mentioned the president .	The president mentioned the artist .	non-entailment
178	178	The secretaries called the senator .	The senator called the secretaries .	non-entailment
179	179	The authors thanked the scientists .	The scientists thanked the authors .	non-entailment
180	180	The senators encouraged the artists .	The artists encouraged the senators .	non-entailment
181	181	The lawyers encouraged the actors .	The actors encouraged the lawyers .	non-entailment
182	182	The bankers admired the manager .	The manager admired the bankers .	non-entailment
183	183	The managers advised the secretaries .	The secretaries advised the managers .	non-entailment
184	184	The artists helped the doctors .	The doctors helped the artists .	non-entailment
185	185	The professor supported the students .	The students supported the professor .	non-entailment
186	186	The artist supported the senators .	The senators supported the artist .	non-entailment
187	187	The actor mentioned the scientists .	The scientists mentioned the actor .	non-entailment
188	188	The authors supported the actor .	The actor supported the authors .	non-entailment
189	189	The secretaries advised the bankers .	The bankers advised the secretaries .	non-entailment
190	190	The professors helped the managers .	The managers helped the professors .	non-entailment
191	191	The secretary recommended the athletes .	The athletes recommended the secretary .	non-entailment
192	192	The managers mentioned the senator .	The senator mentioned the managers .	non-entailment
193	193	The bankers advised the artists .	The artists advised the bankers .	non-entailment
194	194	The professor thanked the tourist .	The tourist thanked the professor .	non-entailment
195	195	The artist introduced the actors .	The actors introduced the artist .	non-entailment
196	196	The secretary thanked the manager .	The manager thanked the secretary .	non-entailment
197	197	The judges believed the president .	The president believed the judges .	non-entailment
198	198	The tourist recommended the banker .	The banker recommended the tourist .	non-entailment
199	199	The scientists saw the managers .	The managers saw the scientists .	non-entailment
200	200	The artist encouraged the secretary .	The secretary encouraged the artist .	non-entailment
201	201	The banker admired the scientist .	The scientist admired the banker .	non-entailment
202	202	The students supported the judge .	The judge supported the students .	non-entailment
203	203	The author supported the actors .	The actors supported the author .	non-entailment
204	204	The athletes recognized the doctors .	The doctors recognized the athletes .	non-entailment
205	205	The secretaries contacted the author .	The author contacted the secretaries .	non-entailment
206	206	The lawyers thanked the bankers .	The bankers thanked the lawyers .	non-entailment
207	207	The bankers recognized the artist .	The artist recognized the bankers .	non-entailment
208	208	The lawyers mentioned the scientist .	The scientist mentioned the lawyers .	non-entailment
209	209	The lawyer helped the professors .	The professors helped the lawyer .	non-entailment
210	210	The tourists stopped the lawyers .	The lawyers stopped the tourists .	non-entailment
211	211	The judge recognized the artist .	The artist recognized the judge .	non-entailment
212	212	The lawyer recommended the scientist .	The scientist recommended the lawyer .	non-entailment
213	213	The bankers stopped the students .	The students stopped the bankers .	non-entailment
214	214	The actor avoided the lawyer .	The lawyer avoided the actor .	non-entailment
215	215	The athlete avoided the judge .	The judge avoided the athlete .	non-entailment
216	216	The tourist supported the judges .	The judges supported the tourist .	non-entailment
217	217	The professor saw the banker .	The banker saw the professor .	non-entailment
218	218	The lawyer recognized the senators .	The senators recognized the lawyer .	non-entailment
219	219	The athletes helped the doctors .	The doctors helped the athletes .	non-entailment
220	220	The students mentioned the athlete .	The athlete mentioned the students .	non-entailment
221	221	The secretaries recognized the lawyer .	The lawyer recognized the secretaries .	non-entailment
222	222	The artists supported the judges .	The judges supported the artists .	non-entailment
223	223	The tourists avoided the author .	The author avoided the tourists .	non-entailment
224	224	The judge stopped the tourist .	The tourist stopped the judge .	non-entailment
225	225	The authors advised the doctors .	The doctors advised the authors .	non-entailment
226	226	The author helped the senators .	The senators helped the author .	non-entailment
227	227	The professor supported the athlete .	The athlete supported the professor .	non-entailment
228	228	The artist called the manager .	The manager called the artist .	non-entailment
229	229	The bankers introduced the student .	The student introduced the bankers .	non-entailment
230	230	The actors stopped the doctors .	The doctors stopped the actors .	non-entailment
231	231	The senators stopped the president .	The president stopped the senators .	non-entailment
232	232	The lawyers admired the senator .	The senator admired the lawyers .	non-entailment
233	233	The professors recommended the manager .	The manager recommended the professors .	non-entailment
234	234	The banker admired the senator .	The senator admired the banker .	non-entailment
235	235	The senators avoided the doctors .	The doctors avoided the senators .	non-entailment
236	236	The secretary saw the authors .	The authors saw the secretary .	non-entailment
237	237	The professors saw the lawyer .	The lawyer saw the professors .	non-entailment
238	238	The professor advised the banker .	The banker advised the professor .	non-entailment
239	239	The lawyers called the scientists .	The scientists called the lawyers .	non-entailment
240	240	The senators stopped the secretary .	The secretary stopped the senators .	non-entailment
241	241	The banker helped the students .	The students helped the banker .	non-entailment
242	242	The scientists recommended the presidents .	The presidents recommended the scientists .	non-entailment
243	243	The doctor saw the author .	The author saw the doctor .	non-entailment
244	244	The scientist helped the artist .	The artist helped the scientist .	non-entailment
245	245	The athletes contacted the secretaries .	The secretaries contacted the athletes .	non-entailment
246	246	The banker supported the athlete .	The athlete supported the banker .	non-entailment
247	247	The senators called the athlete .	The athlete called the senators .	non-entailment
248	248	The doctor admired the actor .	The actor admired the doctor .	non-entailment
249	249	The senator advised the secretaries .	The secretaries advised the senator .	non-entailment
250	250	The senator mentioned the students .	The students mentioned the senator .	non-entailment
251	251	The doctor saw the presidents .	The presidents saw the doctor .	non-entailment
252	252	The lawyer mentioned the actor .	The actor mentioned the lawyer .	non-entailment
253	253	The actors contacted the senators .	The senators contacted the actors .	non-entailment
254	254	The tourists contacted the authors .	The authors contacted the tourists .	non-entailment
255	255	The tourist saw the artist .	The artist saw the tourist .	non-entailment
256	256	The athletes stopped the authors .	The authors stopped the athletes .	non-entailment
257	257	The judges thanked the secretaries .	The secretaries thanked the judges .	non-entailment
258	258	The authors stopped the doctors .	The doctors stopped the authors .	non-entailment
259	259	The professors encouraged the student .	The student encouraged the professors .	non-entailment
260	260	The athletes thanked the artists .	The artists thanked the athletes .	non-entailment
261	261	The scientists encouraged the doctor .	The doctor encouraged the scientists .	non-entailment
262	262	The bankers admired the professor .	The professor admired the bankers .	non-entailment
263	263	The actor helped the bankers .	The bankers helped the actor .	non-entailment
264	264	The lawyers encouraged the secretaries .	The secretaries encouraged the lawyers .	non-entailment
265	265	The professors called the manager .	The manager called the professors .	non-entailment
266	266	The presidents supported the professor .	The professor supported the presidents .	non-entailment
267	267	The secretaries advised the tourists .	The tourists advised the secretaries .	non-entailment
268	268	The authors recognized the doctor .	The doctor recognized the authors .	non-entailment
269	269	The president contacted the artist .	The artist contacted the president .	non-entailment
270	270	The professor thanked the student .	The student thanked the professor .	non-entailment
271	271	The actor stopped the professors .	The professors stopped the actor .	non-entailment
272	272	The artists avoided the scientist .	The scientist avoided the artists .	non-entailment
273	273	The scientists saw the artists .	The artists saw the scientists .	non-entailment
274	274	The scientist encouraged the professor .	The professor encouraged the scientist .	non-entailment
275	275	The senator contacted the lawyers .	The lawyers contacted the senator .	non-entailment
276	276	The president supported the judge .	The judge supported the president .	non-entailment
277	277	The secretaries contacted the scientist .	The scientist contacted the secretaries .	non-entailment
278	278	The actor recommended the students .	The students recommended the actor .	non-entailment
279	279	The authors helped the banker .	The banker helped the authors .	non-entailment
280	280	The president called the author .	The author called the president .	non-entailment
281	281	The secretary recognized the judge .	The judge recognized the secretary .	non-entailment
282	282	The student mentioned the professor .	The professor mentioned the student .	non-entailment
283	283	The professors contacted the presidents .	The presidents contacted the professors .	non-entailment
284	284	The president recommended the artists .	The artists recommended the president .	non-entailment
285	285	The secretary admired the scientist .	The scientist admired the secretary .	non-entailment
286	286	The tourist introduced the managers .	The managers introduced the tourist .	non-entailment
287	287	The author encouraged the professor .	The professor encouraged the author .	non-entailment
288	288	The secretaries supported the tourists .	The tourists supported the secretaries .	non-entailment
289	289	The doctor stopped the tourists .	The tourists stopped the doctor .	non-entailment
290	290	The artist recommended the judge .	The judge recommended the artist .	non-entailment
291	291	The senators helped the judge .	The judge helped the senators .	non-entailment
292	292	The artists avoided the scientists .	The scientists avoided the artists .	non-entailment
293	293	The student thanked the secretary .	The secretary thanked the student .	non-entailment
294	294	The professors recommended the students .	The students recommended the professors .	non-entailment
295	295	The professor helped the author .	The author helped the professor .	non-entailment
296	296	The students supported the banker .	The banker supported the students .	non-entailment
297	297	The manager helped the author .	The author helped the manager .	non-entailment
298	298	The tourist supported the senator .	The senator supported the tourist .	non-entailment
299	299	The manager called the artists .	The artists called the manager .	non-entailment
300	300	The managers recognized the presidents .	The presidents recognized the managers .	non-entailment
301	301	The athletes recognized the lawyers .	The lawyers recognized the athletes .	non-entailment
302	302	The lawyers believed the judge .	The judge believed the lawyers .	non-entailment
303	303	The author believed the actor .	The actor believed the author .	non-entailment
304	304	The athlete recognized the managers .	The managers recognized the athlete .	non-entailment
305	305	The presidents saw the secretaries .	The secretaries saw the presidents .	non-entailment
306	306	The tourist supported the professor .	The professor supported the tourist .	non-entailment
307	307	The secretaries believed the artist .	The artist believed the secretaries .	non-entailment
308	308	The scientists recognized the students .	The students recognized the scientists .	non-entailment
309	309	The lawyers supported the author .	The author supported the lawyers .	non-entailment
310	310	The presidents avoided the lawyer .	The lawyer avoided the presidents .	non-entailment
311	311	The lawyers recommended the artists .	The artists recommended the lawyers .	non-entailment
312	312	The judge introduced the student .	The student introduced the judge .	non-entailment
313	313	The senators encouraged the students .	The students encouraged the senators .	non-entailment
314	314	The artists saw the managers .	The managers saw the artists .	non-entailment
315	315	The manager introduced the athletes .	The athletes introduced the manager .	non-entailment
316	316	The presidents mentioned the banker .	The banker mentioned the presidents .	non-entailment
317	317	The doctors contacted the bankers .	The bankers contacted the doctors .	non-entailment
318	318	The bankers stopped the professors .	The professors stopped the bankers .	non-entailment
319	319	The president contacted the author .	The author contacted the president .	non-entailment
320	320	The doctor admired the athlete .	The athlete admired the doctor .	non-entailment
321	321	The professors saw the actors .	The actors saw the professors .	non-entailment
322	322	The students saw the artist .	The artist saw the students .	non-entailment
323	323	The lawyers thanked the athlete .	The athlete thanked the lawyers .	non-entailment
324	324	The athlete saw the secretary .	The secretary saw the athlete .	non-entailment
325	325	The tourists mentioned the actors .	The actors mentioned the tourists .	non-entailment
326	326	The authors thanked the doctor .	The doctor thanked the authors .	non-entailment
327	327	The senators supported the authors .	The authors supported the senators .	non-entailment
328	328	The professors mentioned the banker .	The banker mentioned the professors .	non-entailment
329	329	The artists called the actors .	The actors called the artists .	non-entailment
330	330	The lawyers recommended the students .	The students recommended the lawyers .	non-entailment
331	331	The manager recommended the artists .	The artists recommended the manager .	non-entailment
332	332	The tourists introduced the secretaries .	The secretaries introduced the tourists .	non-entailment
333	333	The presidents thanked the artists .	The artists thanked the presidents .	non-entailment
334	334	The lawyer recognized the scientist .	The scientist recognized the lawyer .	non-entailment
335	335	The students recognized the tourists .	The tourists recognized the students .	non-entailment
336	336	The secretary believed the actor .	The actor believed the secretary .	non-entailment
337	337	The artist contacted the professors .	The professors contacted the artist .	non-entailment
338	338	The secretary saw the judge .	The judge saw the secretary .	non-entailment
339	339	The judge introduced the athletes .	The athletes introduced the judge .	non-entailment
340	340	The author contacted the student .	The student contacted the author .	non-entailment
341	341	The managers admired the tourist .	The tourist admired the managers .	non-entailment
342	342	The athletes thanked the actors .	The actors thanked the athletes .	non-entailment
343	343	The senators helped the lawyers .	The lawyers helped the senators .	non-entailment
344	344	The scientists believed the presidents .	The presidents believed the scientists .	non-entailment
345	345	The actors admired the professors .	The professors admired the actors .	non-entailment
346	346	The scientists introduced the author .	The author introduced the scientists .	non-entailment
347	347	The student helped the manager .	The manager helped the student .	non-entailment
348	348	The students introduced the professors .	The professors introduced the students .	non-entailment
349	349	The professor stopped the athletes .	The athletes stopped the professor .	non-entailment
350	350	The managers called the student .	The student called the managers .	non-entailment
351	351	The judge stopped the doctor .	The doctor stopped the judge .	non-entailment
352	352	The athletes stopped the banker .	The banker stopped the athletes .	non-entailment
353	353	The presidents called the doctor .	The doctor called the presidents .	non-entailment
354	354	The senator avoided the professors .	The professors avoided the senator .	non-entailment
355	355	The senator believed the professors .	The professors believed the senator .	non-entailment
356	356	The senator stopped the bankers .	The bankers stopped the senator .	non-entailment
357	357	The doctors mentioned the tourist .	The tourist mentioned the doctors .	non-entailment
358	358	The bankers supported the professors .	The professors supported the bankers .	non-entailment
359	359	The banker avoided the students .	The students avoided the banker .	non-entailment
360	360	The banker saw the secretaries .	The secretaries saw the banker .	non-entailment
361	361	The actor saw the doctors .	The doctors saw the actor .	non-entailment
362	362	The authors stopped the lawyers .	The lawyers stopped the authors .	non-entailment
363	363	The scientists recommended the athlete .	The athlete recommended the scientists .	non-entailment
364	364	The tourists contacted the artist .	The artist contacted the tourists .	non-entailment
365	365	The professors believed the athletes .	The athletes believed the professors .	non-entailment
366	366	The lawyer mentioned the senators .	The senators mentioned the lawyer .	non-entailment
367	367	The secretary contacted the authors .	The authors contacted the secretary .	non-entailment
368	368	The senators believed the student .	The student believed the senators .	non-entailment
369	369	The president helped the professors .	The professors helped the president .	non-entailment
370	370	The lawyer introduced the banker .	The banker introduced the lawyer .	non-entailment
371	371	The presidents avoided the manager .	The manager avoided the presidents .	non-entailment
372	372	The actors advised the managers .	The managers advised the actors .	non-entailment
373	373	The bankers saw the actor .	The actor saw the bankers .	non-entailment
374	374	The doctors contacted the athletes .	The athletes contacted the doctors .	non-entailment
375	375	The student advised the lawyers .	The lawyers advised the student .	non-entailment
376	376	The scientists believed the actor .	The actor believed the scientists .	non-entailment
377	377	The secretaries helped the president .	The president helped the secretaries .	non-entailment
378	378	The scientist introduced the artist .	The artist introduced the scientist .	non-entailment
379	379	The athlete introduced the judges .	The judges introduced the athlete .	non-entailment
380	380	The tourist encouraged the students .	The students encouraged the tourist .	non-entailment
381	381	The lawyers introduced the artist .	The artist introduced the lawyers .	non-entailment
382	382	The bankers advised the scientist .	The scientist advised the bankers .	non-entailment
383	383	The athlete supported the artist .	The artist supported the athlete .	non-entailment
384	384	The professor stopped the actors .	The actors stopped the professor .	non-entailment
385	385	The actor helped the doctors .	The doctors helped the actor .	non-entailment
386	386	The tourists called the author .	The author called the tourists .	non-entailment
387	387	The lawyer helped the president .	The president helped the lawyer .	non-entailment
388	388	The managers introduced the professors .	The professors introduced the managers .	non-entailment
389	389	The secretary contacted the athletes .	The athletes contacted the secretary .	non-entailment
390	390	The author helped the bankers .	The bankers helped the author .	non-entailment
391	391	The actors saw the athletes .	The athletes saw the actors .	non-entailment
392	392	The professors encouraged the students .	The students encouraged the professors .	non-entailment
393	393	The actors introduced the banker .	The banker introduced the actors .	non-entailment
394	394	The artists recognized the manager .	The manager recognized the artists .	non-entailment
395	395	The actors mentioned the students .	The students mentioned the actors .	non-entailment
396	396	The actors believed the tourist .	The tourist believed the actors .	non-entailment
397	397	The lawyer helped the artist .	The artist helped the lawyer .	non-entailment
398	398	The actors recommended the tourist .	The tourist recommended the actors .	non-entailment
399	399	The secretary admired the authors .	The authors admired the secretary .	non-entailment
400	400	The artist recognized the actors .	The actors recognized the artist .	non-entailment
401	401	The scientist recommended the manager .	The manager recommended the scientist .	non-entailment
402	402	The tourist recommended the artist .	The artist recommended the tourist .	non-entailment
403	403	The senators supported the athletes .	The athletes supported the senators .	non-entailment
404	404	The artist encouraged the presidents .	The presidents encouraged the artist .	non-entailment
405	405	The students recommended the athletes .	The athletes recommended the students .	non-entailment
406	406	The author introduced the actor .	The actor introduced the author .	non-entailment
407	407	The artist saw the lawyers .	The lawyers saw the artist .	non-entailment
408	408	The secretaries introduced the student .	The student introduced the secretaries .	non-entailment
409	409	The presidents saw the manager .	The manager saw the presidents .	non-entailment
410	410	The banker mentioned the manager .	The manager mentioned the banker .	non-entailment
411	411	The judges stopped the senators .	The senators stopped the judges .	non-entailment
412	412	The senators avoided the student .	The student avoided the senators .	non-entailment
413	413	The actors helped the student .	The student helped the actors .	non-entailment
414	414	The judge believed the tourist .	The tourist believed the judge .	non-entailment
415	415	The scientist recommended the artists .	The artists recommended the scientist .	non-entailment
416	416	The secretaries supported the athlete .	The athlete supported the secretaries .	non-entailment
417	417	The artists saw the scientist .	The scientist saw the artists .	non-entailment
418	418	The tourists believed the senators .	The senators believed the tourists .	non-entailment
419	419	The managers supported the athlete .	The athlete supported the managers .	non-entailment
420	420	The lawyer avoided the senator .	The senator avoided the lawyer .	non-entailment
421	421	The presidents believed the artists .	The artists believed the presidents .	non-entailment
422	422	The presidents believed the secretary .	The secretary believed the presidents .	non-entailment
423	423	The authors admired the secretaries .	The secretaries admired the authors .	non-entailment
424	424	The senator contacted the bankers .	The bankers contacted the senator .	non-entailment
425	425	The judges helped the banker .	The banker helped the judges .	non-entailment
